niveles,supcubiert,escanexo,escnom,esccodpos,escdom,esctel,escemail,escfeccre,PosX,PosY,X_WGS,Y_WGS
Jardines Exclusivos,"3556.930000","0001",MERCEDITAS DE SAN MARTIN,"5500.000000",GUTIERREZ 380 -   CAPITAL,0261-4255937,dge0001@mendoza.edu.ar,1910/07/01,-68.8430,-32.8870,-68.843610,-32.887820
CENS,"3556.930000","3402",SAN NICOLµS DEL CARRASCAL,"5500.000000",GUTIERREZ 350,0261-4200310,dge3402@mendoza.edu.ar,1974/06/04,-68.8430,-32.8870,-68.843420,-32.887860
CENS,"0.000000","0",ROBERTO ARLT,"5500.000000",CHILE 1782,"4251416",dge3405@mendoza.edu.ar,01/08/1986,-68.8440,-32.8810,-68.844330,-32.881890
CENS,"0.000000","3408",ESCUELA N�? 3-408 CENS BELGRANO EDUCADOR,"5500.000000",MART�?NEZ DE ROSAS Y MOLDES,0261-4295331,dge3408@mendoza.edu.ar,1990/01/01,-68.8520,-32.8750,-68.852530,-32.875440
EGB3 y Polimodal,"0.000000","4013",DR.BERNARDO A HOUSSAY,"5500.000000",CORONEL PLAZA 303,0261-4255947,dge4013@mendoza.edu.ar,1960/03/01,-68.8400,-32.8790,-68.840770,-32.879470
Privadas Primarias,"0.000000",P131,FUNDACION RICART (NORBRIDGE),"5500.000000",BARCALA 471,0261-4200569,dgeP131@mendoza.edu.ar,1994/03/01,-68.8430,-32.8810,-68.843340,-32.881590
Privadas Secundarias,"0.000000",S027,PABLO BESSON,"5500.000000",AVENIDA ESPA¥A 1895,0261-4254845,dgeS027@mendoza.edu.ar,1990/09/18,-68.8390,-32.8810,-68.839420,-32.881160
Privadas Primarias,"0.000000",P027,PABLO BESSON,"5500.000000",SAN MARTIN 2020,0261-4254845,dgeP027@mendoza.edu.ar,1988/03/08,-68.8360,-32.8790,-68.836850,-32.879660
Terciarios,"0.000000",T022,ESCUELA REGIONAL DE CINE Y VIDEO,"5500.000000",MAIPU 418,061-4376329,dgeT022@mendoza.edu.ar,1900/01/01,-68.8300,-32.8760,-68.830440,-32.876430
"Inicial, EGB1 y EGB2","1225.760000","1028",JOSE FEDERICO MORENO,"5500.000000",JOSE FEDERICO MORENO 2221,0261-4231470,dge1028@mendoza.edu.ar,1911/02/12,-68.8310,-32.8760,-68.831860,-32.876340
Privadas Secundarias,"0.000000",S008,STO. TOMAS DE AQUINO,"5500.000000",CHACABUCO 257,0261-4234320,dgeS008@mendoza.edu.ar,1901/01/01,-68.8330,-32.8770,-68.833100,-32.877810
Privadas Primarias,"0.000000",P008,STO.TOMAS DE AQUINO,"5500.000000",CHACABUCO 257,0261-4234320,dgeP008@mendoza.edu.ar,1753/01/01,-68.8330,-32.8770,-68.833020,-32.877830
"Inicial, EGB1 y EGB2","2052.100000","1032",MARIANO MORENO,"5500.000000",ALBERDI 445,0261-4233546,dge1032@mendoza.edu.ar,1900/01/01,-68.8300,-32.8800,-68.830500,-32.880390
CENS,"658.630000","0",ESCUELA N�? 3-403 (CENS),"5500.000000",ALBERDI 455,0261-4256538,dge3403@mendoza.edu.ar,1980/01/01,-68.8300,-32.8800,-68.830250,-32.880460
Privadas Primarias,"0.000000",P013,S.PEDRO NOLASCO,"5500.000000",JOSE FEDERICO MORENO 1751,0261-4251035,dgeP013@mendoza.edu.ar,1991/05/10,-68.8320,-32.8830,-68.832070,-32.883180
Privadas Secundarias,"0.000000",S013,SAN PEDRO NOLASCO,"5500.000000",JOSE FEDERICO MORENO 1751,0261-4251035,dgeS013@mendoza.edu.ar,1937/02/23,-68.8320,-32.8830,-68.832200,-32.883000
Privadas Secundarias,"0.000000",S001,DON BOSCO,"5500.000000",CORDOBA 249,0261-4232391,dgeS001@mendoza.edu.ar,1900/01/01,-68.8340,-32.8830,-68.834730,-32.883820
Privadas Primarias,"0.000000",P001,DON BOSCO,"5500.000000",CORDOBA 249,0261-4232391,dgeP001@mendoza.edu.ar,1982/03/01,-68.8340,-32.8830,-68.834810,-32.883820
"Inicial, EGB1 y EGB2","848.540000","1036",TIBURCIO BENEGAS,"5500.000000",SAN LUIS 321,0261-4257898,dge1036@mendoza.edu.ar,1900/01/01,-68.8330,-32.8850,-68.833660,-32.885170
"Inicial, EGB1 y EGB2","4127.050000","1461",RICARDO ROJAS,"5500.000000",JUAN JUFRE  3088,0261-4306837,dge1461@mendoza.edu.ar,1956/10/14,-68.8240,-32.8680,-68.824500,-32.868140
Escuelas Especiales,"0.000000","2031",PEDRO DEL CASTILLO,"5500.000000",URQUIZA 148,0261-4291975,dge2031@mendoza.edu.ar,1975/05/21,-68.8340,-32.8810,-68.834460,-32.880960
Privadas Primarias,"0.000000",P207,A.P.A.N.D.O.,"5500.000000",FEDERICO MORENO 3087,0261-4301352,dgeP207@mendoza.edu.ar,1983/11/20,-68.8310,-32.8670,-68.831220,-32.867800
Jardines Exclusivos,"707.100000","0002",DR. GREGORIO ARAOZ ALFARO,"5500.000000",VIDELA CASTILLO 3080 -,0261-4306993,dge0002@mendoza.edu.ar,1945/07/24,-68.8270,-32.8670,-68.827600,-32.867810
EGB3 y Polimodal,"658.630000","4008",FRAY MAMERTO ESQUIU,"5500.000000",SAN MARTIN 2583,0261-4305577,dge4008@mendoza.edu.ar,1942/07/17,-68.8340,-32.8720,-68.834440,-32.872860
Centros Laborales,"0.000000","6034",ENRIQUETA D DE VIDELA,"5500.000000",SALTA 2024,0261-4293473-4304903,dge6034@mendoza.edu.ar,1900/01/01,-68.8340,-32.8790,-68.834050,-32.879650
"Inicial, EGB1 y EGB2","977.990000","1313",BEATRIZ FALCITELLI,"5500.000000",AMEGHINO 445,0261-4303023,dge1313@mendoza.edu.ar,1936/07/27,-68.8380,-32.8620,-68.838540,-32.862880
Terciarios,"0.000000",T068,NUESTRA SE¥ORA DEL  ROSARIO DE POMPEYA,"5500.000000",PATRICIAS MENDOCINAS 3331,0261-4305359,dgeT068@mendoza.edu.ar,1978/04/01,-68.8360,-32.8640,-68.836250,-32.864240
Privadas Secundarias,"0.000000",S068,NTRA.SRA.DEL ROSARIO DE POMPEYA,"5500.000000",PATRICIAS MENDOCINAS 3331,0261-4305359,dgeS068@mendoza.edu.ar,1963/03/13,-68.8360,-32.8640,-68.836300,-32.864370
Privadas Primarias,"0.000000",P068,N.S.DEL R.DE POMPEYA,"5500.000000",PATRICIAS MENDOCINAS 3331,0261-4305359,dgeP068@mendoza.edu.ar,1963/03/01,-68.8360,-32.8640,-68.836310,-32.864150
Terciarios,"0.000000",T207,INSTITUTO SUPERIOR DE ENSE¥ANZA TECNICA,"5500.000000",MITRE 3141,0261-4304681,dgeT207@mendoza.edu.ar,1992/02/01,-68.8380,-32.8650,-68.838130,-32.865830
"Inicial, EGB1 y EGB2","977.870000","1144",HIPOLITO YRIGOYEN,"5500.000000",AV.ESPA¥A 2812,0261-4305681,dge1144@mendoza.edu.ar,1918/04/03,-68.8370,-32.8700,-68.837040,-32.870160
CENS,"977.870000","3458",ESCUELA N�? 3-458 (CENS),"5500.000000",ESPA¥A 2812,0261-4377603,dge3458@mendoza.edu.ar,1998/04/03,-68.8370,-32.8700,-68.837030,-32.870210
"Inicial, EGB1 y EGB2","0.000000","1034",GRAL.MANUEL BELGRANO,"5500.000000",PELLEGRINI 671,0261-4258059,dge1034@mendoza.edu.ar,1901/05/15,-68.8430,-32.8720,-68.842960,-32.872490
Privadas Secundarias,"0.000000",S012,COMPA¥IA DE MARIA,"5500.000000",SAN MARTIN 2494,0261-4254636,dgeS012@mendoza.edu.ar,1927/03/01,-68.8350,-32.8740,-68.835420,-32.874020
Privadas Primarias,"0.000000",P012,COMPA¥IA DE MARIA,"5500.000000",SAN MARTIN 2494,0621-4254636,dgeP012@mendoza.edu.ar,1900/01/01,-68.8350,-32.8740,-68.835430,-32.874090
Post Primaria Especial,"1301.280000","7005",LEàN GIECO,"5500.000000",CHACO Y SANTA MARIA DE ORO,0261-4232542,dge7005@mendoza.edu.ar,1900/01/01,-68.8480,-32.8670,-68.848510,-32.867920
Escuelas Especiales,"0.000000","2034",DR.RICARDO GUTIERREZ,"5500.000000",MONTECASEROS Y BUENOS AIRES,0261 - 4239079,dge2034@mendoza.edu.ar,1960/03/24,-68.8310,-32.8870,-68.831130,-32.887930
Escuelas Especiales,"1301.280000","2001",VICTOR MERCANTE,"5500.000000",SANTA MARIA DE ORO Y VUCETICH,0261-4232542,dge2001@mendoza.edu.ar,1939/05/16,-68.8490,-32.8670,-68.849080,-32.867880
"Inicial, EGB1 y EGB2","1872.640000","1316",EDMUNDO DE AMICIS,"5500.000000",JORGE A CALLE 297,0261-4231350,dge1316@mendoza.edu.ar,1936/08/28,-68.8480,-32.8680,-68.848590,-32.868520
Centros Laborales,"1872.640000","6018",LEONOR LEMOS,"5500.000000",JORGE A. CALLE 297,0261-4231350,dge6018@mendoza.edu.ar,1958/05/20,-68.8480,-32.8680,-68.848480,-32.868180
"Inicial, EGB1 y EGB2","821.110000","1473",PIO XII,"5500.000000",FERNANDO FADER 83,0261-4303199,dge1473@mendoza.edu.ar,1957/01/01,-68.8450,-32.8650,-68.845220,-32.865930
Jardines Maternales SEOS,"0.000000",J074,JARDIN MAT. CUSTODIA ZULUZAGA,"5500.000000",COOP. ENTRE JUNCAL Y PLUMERILLO,0261-4444890,dgeJ074@mendoza.edu.ar,1984/11/20,-68.8680,-32.8660,-68.868330,-32.866470
Jardines Maternales SEOS,"163.010000",J101,MUNICENTRO COOP. LIBERTADOR,"5500.000000",PADRE LLORENS MZA. T CASA 17,0261-4495195,dgeJ101@mendoza.edu.ar,1998/03/01,-68.8660,-32.8690,-68.866530,-32.869600
Escuelas Especiales,"1753.890000","2017",CNEL.DE MARINA TOMAS ESPORA,"5500.000000",PADRE LLORENS S/N,,dge2017@mendoza.edu.ar,1965/05/13,-68.8660,-32.8680,-68.866200,-32.868730
Centros Laborales,"0.000000","6036",SAMUEL OSTROPOLSKY,"5500.000000",URQUIZA 164,"4340223",dge6036@mendoza.edu.ar,1900/01/01,-68.8340,-32.8800,-68.834330,-32.880940
Privadas Secundarias,"0.000000",S053,P.JOSE M.LLORENS,"5500.000000",MANZANA I CASAS 2 Y 3,0261-4444957,dgeS053@mendoza.edu.ar,1992/12/11,-68.8670,-32.8690,-68.867140,-32.869650
"Inicial, EGB1 y EGB2","0.000000","1565",GRAL.PATROCINIO RECABARREN,"5500.000000",LOS CEIBOS S/N,0261-4446607,dge1565@mendoza.edu.ar,1971/09/01,-68.8670,-32.8700,-68.867050,-32.870260
"Inicial, EGB1 y EGB2","0.000000","1543",JULIO CESAR RAFFO DE LA RETA,"5500.000000",POTRERILLOS Y VILLAVICENCIO -,0261-4444808,dge1543@mendoza.edu.ar,1967/04/03,-68.8620,-32.8650,-68.862720,-32.865600
Jardines CAE,"0.000000",C069,VICTOR VOLPE,"5500.000000",POTRERILLOS S/N,0261-156522454,dgeC069@mendoza.edu.ar,1993/07/03,-68.8650,-32.8650,-68.865220,-32.865320
Jardines Maternales SEOS,"0.000000",J092,DUENDELIN,"5500.000000",POTRERILLOS S/N�? (ENTRE V.VICENCIO Y TOL,0261-4447331,dgeJ092@mendoza.edu.ar,1997/07/01,-68.8620,-32.8650,-68.862240,-32.865580
Privadas Secundarias,"0.000000",S004,SAN JOSE H. MARISTAS,"5500.000000",AV.CHAMPAGNAT 2980,0261-4444969,dgeS004@mendoza.edu.ar,1944/01/01,-68.8820,-32.8660,-68.882430,-32.866360
Privadas Primarias,"0.000000",P004,SAN JOSE H.MARISTAS,"5500.000000",AV.CHAMPAGNAT S/N,0261-4444969,dgeP004@mendoza.edu.ar,1917/03/01,-68.8820,-32.8660,-68.882260,-32.866420
"Inicial, EGB1 y EGB2","0.000000","1601",DR. DIEGO PAROISSIEN,"5500.000000",METRAUX  S/N,0261-4445145,dge1601@mendoza.edu.ar,1975/03/01,-68.8750,-32.8670,-68.875580,-32.867430
CEBA,"1583.920000","0",Profesor Fabián Roberto Testa,"5500","CALLE 3 S/N, B°FLORES SUR","4201033",dge3126@mendoza.edu.ar,16/04/1998,-68.8690,-32.8730,-68.869690,-32.873630
Jardines Maternales SEOS,"0.000000",J073,MIMITOS,"5500.000000",MZA. E CASA 03,"0",dgeJ073@mendoza.edu.ar,1996/07/30,-68.8690,-32.8730,-68.869760,-32.873640
"Inicial, EGB1 y EGB2","1583.920000","1547",GRAL.CARLOS E. O'DONNELL,"5500.000000",CALLE 5 Y 6,0261-4294253,dge1547@mendoza.edu.ar,1967/11/22,-68.8690,-32.8740,-68.869780,-32.874240
Jardines CAE,"0.000000",C067,CENTRO COMUNITARIO ED. SAN JOSE,"5500.000000",CALLE 5 Y 6,026-4204340,dgeC067@mendoza.edu.ar,1989/04/19,-68.8700,-32.8740,-68.870150,-32.874130
Jardines Maternales SEOS,"0.000000",J030,JARDIN MATERNAL LOS DUENDES DEL LAGO,"5500.000000",TIMOTEO GORDILLO  S/N,0261-4259700,dgeJ030@mendoza.edu.ar,1989/08/11,-68.8640,-32.8710,-68.864440,-32.871690
Jardines Exclusivos,"0.000000","0003",MARIA CURIE,"5500.000000",AV.LOS FRESNOS S/N ESQUINA LOS VISCOS,0261-4297416,dge0003@mendoza.edu.ar,1955/05/31,-68.8590,-32.8700,-68.859440,-32.870860
"Inicial, EGB1 y EGB2","0.000000","1256",REPUBLICA DE CHILE,"5500.000000",AV.LOS FRESNOS S/N,0261-4232187,dge1256@mendoza.edu.ar,1929/03/15,-68.8590,-32.8700,-68.859370,-32.870430
Escuelas UNC,"0.000000",Z019,LICEO MILITAR GENERAL ESPEJO,"5500.000000",AV. BOULONGNE SUR MER 2136,0261-4234400,dgeZ019@mendoza.edu.ar,1753/01/01,-68.8590,-32.8740,-68.859470,-32.874570
ITU,"0.000000",I001,I.T.U. MENDOZA,"5500.000000",FACULTAD INGENIERIA - CIUDAD UNIVERSITAR,0261-4494084,dgeI001@mendoza.edu.ar,1994/11/22,-68.8780,-32.8790,-68.878580,-32.879020
"Inicial, EGB1 y EGB2","0.000000","1098",CARMEN PONCE DE VIDELA,"5500.000000",AV.DEL LIB.S/N PARQUE GRAL.SAN MARTIN,"02614233545",dge1098@mendoza.edu.ar,1913/04/05,-68.8730,-32.8830,-68.873040,-32.883550
CEBA,"0.000000","3122","""ALGARROBO TELTECA""","5500.000000",BOULOGNE SUR MER 1890,0261-4362431,dge3122@mendoza.edu.ar,1997/03/21,-68.8600,-32.8770,-68.859970,-32.877220
"Inicial, EGB1 y EGB2","1438.510000","1259",DR.CARLOS N.VERGARA,"5500.000000",MARTINEZ DE ROSAS 2220,0261-4232100,dge1259@mendoza.edu.ar,1929/03/04,-68.8520,-32.8750,-68.852600,-32.875310
Privadas Secundarias,"0.000000",S077,ISLAS MALVINAS (TUR. Y HOTELERIA),"5500.000000",ROQUE SAENZ PE¥A 745,0261-4381441,,1993/03/03,-68.8580,-32.8800,-68.858170,-32.880070
Privadas Secundarias,"0.000000",S016,SAN ANDRES,"5500.000000",JOAQUIN V. GONZALEZ 630,0261-4250824,dgeS016@mendoza.edu.ar,1992/03/09,-68.8570,-32.8810,-68.857600,-32.881850
Privadas Primarias,"0.000000",P016,SAN ANDRES,"5500.000000",JOAQUIN V.GONZALEZ 630,0261-4250824,dgeP016@mendoza.edu.ar,1987/03/01,-68.8570,-32.8810,-68.857560,-32.881900
"Inicial, EGB1 y EGB2","720.380000","1106",DR.JUAN AGUSTIN MAZA,"5500.000000",MARTINEZ DE ROSAS 1457,0261-4255236,dge1106@mendoza.edu.ar,1914/06/11,-68.8540,-32.8840,-68.854350,-32.884310
Privadas Secundarias,"0.000000",S059,ADVENTISTA,"5500.000000",AVELLANEDA 55,0261-4256799,dgeS059@mendoza.edu.ar,1900/01/01,-68.8500,-32.8860,-68.850050,-32.885970
Privadas Primarias,"0.000000",P059,I.AMPUERO MATTA,"5500.000000",Nicol s Avellaneda 55,0261-4256799,dgeP059@mendoza.edu.ar,1900/01/01,-68.8500,-32.8860,-68.850170,-32.886000
"Inicial, EGB1 y EGB2","1457.500000","1278",DOMINGO F SARMIENTO,"5500.000000",JULIO A ROCA 343,0261-4234368,dge1278@mendoza.edu.ar,1960/09/11,-68.8540,-32.8880,-68.854770,-32.888720
Terciarios,"0.000000",T229,ESC. DE PERIODISMO DEPORTIVO DE MENDOZA,"5500.000000",SAN JUAN 470,0261-4205109,dgeT229@mendoza.edu.ar,1998/02/13,-68.8390,-32.8980,-68.839720,-32.898360
Privadas Secundarias,"0.000000",S079,CORAZON DE MARIA,"5500.000000",RODRIGUEZ 853,0261-4251388,dgeS079@mendoza.edu.ar,1753/01/01,-68.8520,-32.8900,-68.852300,-32.890920
Privadas Primarias,"0.000000",P079,CORAZON DE MARIA,"5500.000000",RODRIGUEZ 853,0261-4251388,dgeP079@mendoza.edu.ar,1964/03/01,-68.8520,-32.8910,-68.852320,-32.891000
Privadas Secundarias,"0.000000",S009,NTRA.SRA. DE LA MISERICORDIA,"5500.000000",VICENTE ZAPATA 165,0261-4291512,dgeS009@mendoza.edu.ar,1753/01/01,-68.8380,-32.8950,-68.838650,-32.895690
Privadas Primarias,"0.000000",P009,NTRA. SRA. DE LA MISERICORDIA,"5500.000000",VICENTE ZAPATA 165,0261-4291512,dgeP009@mendoza.edu.ar,1935/02/02,-68.8380,-32.8950,-68.838670,-32.895760
Terciarios,"0.000000",T218,INSTITUTO INTERCULTURAL,"5500.000000",RONDEAU 277,0261-4290269,dgeT218@mendoza.edu.ar,1994/03/01,-68.8370,-32.8970,-68.837430,-32.896990
"Inicial, EGB1 y EGB2","2838.800000","1047",BARTOLOME MITRE,"5500.000000",SAN JUAN 417,0261-4237655,dge1047@mendoza.edu.ar,1906/02/03,-68.8390,-32.8980,-68.839330,-32.898690
EGB3 y Polimodal,"2838.800000","4128",ADOLFO PEREZ ESQUIVEL,"5500.000000",SAN JUAN 421,0261-4252895,dge4128@mendoza.edu.ar,1993/02/12,-68.8390,-32.8980,-68.839090,-32.898670
Terciarios,"0.000000",T231,INSTITUTO SUPERIOR DE LA EMPRESA,"5500.000000",RIOJA 460,0261-4233300,dgeT231@mendoza.edu.ar,1997/11/28,-68.8370,-32.8980,-68.837510,-32.898340
Privadas Secundarias,"0.000000",S033,SAN FRANCISCO JAVIER,"5500.000000",SAN JUAN 140,0261-4249036,dgeS033@mendoza.edu.ar,1961/03/01,-68.8410,-32.9020,-68.841710,-32.902150
Terciarios,"0.000000",T224,FUNDACION BRASILIA,"5500.000000",PERU 447,0261-4236917,dgeT224@mendoza.edu.ar,1997/02/24,-68.8490,-32.8950,-68.849860,-32.895570
Privadas Secundarias,"0.000000",S091,HUMBERTO DE PAOLIS,"5500.000000",MITRE 602,0261-4236897,dgeS091@mendoza.edu.ar,1970/03/01,-68.8460,-32.8950,-68.846370,-32.895140
Terciarios,"0.000000",T091,HUMBERTO DE PAOLIS,"5500.000000",MITRE 602,061-4236897,dgeT091@mendoza.edu.ar,1970/03/01,-68.8460,-32.8950,-68.846460,-32.895110
Jardines Maternales SEOS,"0.000000",J006,JARDIN MATERNAL OBRITAS,"5500.000000",SANTA CRUZ 252,0261-156552444,dgeJ006@mendoza.edu.ar,1993/03/15,-68.8450,-32.8990,-68.845100,-32.899900
